tconst;titleType;primaryTitle;originalTitle;startYear;score;is_genre_from_selection;is_keywords_from_selection;poster_url;genres
tt0074119;movie;All the President's Men;All the President's Men;1976;9;3;6;;['biography', 'drama', 'history']
tt1616195;movie;J. Edgar;J. Edgar;2011;8;2;6;;['biography', 'drama', 'romance']
tt0870111;movie;Frost/Nixon;Frost/Nixon;2008;8;3;5;https://m.media-amazon.com/images/M/MV5BOTY4NTU2NTU4NF5BMl5BanBnXkFtZTcwNjE0OTc5MQ@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0977855;movie;Fair Game;Fair Game;2010;8;3;5;;['biography', 'drama', 'thriller']
tt5278596;movie;Weiner;Weiner;2016;8;1;7;;['documentary']
tt0102138;movie;JFK;JFK;1991;8;3;5;https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;['drama', 'history', 'thriller']
tt1023490;movie;Il Divo;Il divo;2008;8;2;6;https://m.media-amazon.com/images/M/MV5BODJlZDI4MjctZDI2NC00M2Y2LWExMDItMDFhYmY1ZmE2N2MwXkEyXkFqcGdeQXVyMzk4MzA3MjU@._V1_SX300.jpg;['biography', 'drama']
tt0113987;movie;Nixon;Nixon;1995;7;3;4;;['biography', 'drama', 'history']
tt5895028;movie;13th;13th;2016;7;2;5;https://m.media-amazon.com/images/M/MV5BMjAwMjU5NTAzOF5BMl5BanBnXkFtZTgwMjQwODQxMDI@._V1_SX300.jpg;['crime', 'documentary', 'history']
tt0118571;movie;Air Force One;Air Force One;1997;7;2;5;https://m.media-amazon.com/images/M/MV5BYTk5NWE2ZjAtZmRmOS00ZGYzLWI5ZmUtMDcwODI0YWY0MTRlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg;['action', 'drama', 'thriller']
tt0104073;movie;Deep Cover;Deep Cover;1992;7;1;6;;['action', 'crime', 'thriller']
tt0140352;movie;The Insider;The Insider;1999;7;3;4;;['biography', 'drama', 'thriller']
tt5270948;movie;Chappaquiddick;Chappaquiddick;2017;7;3;4;;['biography', 'drama', 'history']
tt0405676;movie;All the King's Men;All the King's Men;2006;7;2;5;;['drama', 'thriller']
tt1302006;movie;The Irishman;The Irishman;2019;6;2;4;https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt0312549;movie;Veronica Guerin;Veronica Guerin;2003;6;2;4;https://m.media-amazon.com/images/M/MV5BZWZhZDdiMDYtYTRkMi00MzEzLWI0NjgtZjJjODFmN2ZjNmZmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt1175491;movie;W.;W.;2008;6;2;4;https://m.media-amazon.com/images/M/MV5BMTkzMzg3NjM3OV5BMl5BanBnXkFtZTcwNTY1MzUzMw@@._V1_SX300.jpg;['biography', 'comedy', 'drama']
tt0338751;movie;The Aviator;The Aviator;2004;6;2;4;https://m.media-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['biography', 'drama']
tt9358052;movie;Knock Down the House;Knock Down the House;2019;6;1;5;https://m.media-amazon.com/images/M/MV5BOWU4NThhODYtN2Q2YS00YjQ0LWFjMDktMTdiYjYyYzlhNjY4XkEyXkFqcGdeQXVyMTU4MDMyNjk@._V1_SX300.jpg;['documentary']
tt0118798;movie;Bulworth;Bulworth;1998;6;1;5;https://m.media-amazon.com/images/M/MV5BMTY2NTM5NjIyOV5BMl5BanBnXkFtZTgwMzUwNzc3NjE@._V1_SX300.jpg;['comedy', 'drama', 'romance']
tt1619029;movie;Jackie;Jackie;2016;6;3;3;;['biography', 'drama', 'history']
tt0065234;movie;Z;Z;1969;6;2;4;;['crime', 'drama', 'history']
tt0472062;movie;Charlie Wilson's War;Charlie Wilson's War;2007;6;2;4;https://m.media-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_SX300.jpg;['biography', 'comedy', 'drama']
tt0118548;movie;Absolute Power;Absolute Power;1997;6;1;5;https://m.media-amazon.com/images/M/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;['action', 'crime', 'drama']
tt0323944;movie;Shattered Glass;Shattered Glass;2003;6;2;4;;['drama', 'history']
tt0084335;movie;Missing;Missing;1982;6;3;3;;['biography', 'drama', 'history']
tt0071315;movie;Chinatown;Chinatown;1974;6;2;4;;['drama', 'mystery', 'thriller']
tt0443272;movie;Lincoln;Lincoln;2012;6;3;3;;['biography', 'drama', 'history']
tt0119731;movie;Murder at 1600;Murder at 1600;1997;6;1;5;;['action', 'crime', 'drama']
tt0361596;movie;Fahrenheit 9/11;Fahrenheit 9/11;2004;6;2;4;https://m.media-amazon.com/images/M/MV5BMjAyODU1NzM0NF5BMl5BanBnXkFtZTcwNjI1MjYyMQ@@._V1_SX300.jpg;['documentary', 'drama', 'war']
tt0033467;movie;Citizen Kane;Citizen Kane;1941;6;1;5;https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg;['drama', 'mystery']
tt0368008;movie;The Manchurian Candidate;The Manchurian Candidate;2004;5;1;4;https://m.media-amazon.com/images/M/MV5BZDU2YjA4MmItODk0OS00OTllLWFmNzUtMTg2ZmM3YWYzOGFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg;['drama', 'mystery', 'sci-fi']
tt0119280;movie;Mrs. Brown;Mrs Brown;1997;5;3;2;https://m.media-amazon.com/images/M/MV5BNDEyOGMxNjgtOGYzMi00NWUxLTg2NjgtOGQxNDBiYTFlYjI4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0181865;movie;Traffic;Traffic;2000;5;2;3;https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg;['crime', 'drama', 'thriller']
tt0437232;movie;Catch a Fire;Catch a Fire;2006;5;3;2;;['biography', 'drama', 'history']
tt0467200;movie;The Other Boleyn Girl;The Other Boleyn Girl;2008;5;3;2;https://m.media-amazon.com/images/M/MV5BMTQ2NTg1Mjk1Ml5BMl5BanBnXkFtZTYwODI5Njk3._V1_SX300.jpg;['biography', 'drama', 'history']
tt0119942;movie;Primary Colors;Primary Colors;1998;5;1;4;;['comedy', 'drama']
tt10706602;movie;Collective;Colectiv;2019;5;1;4;;['documentary']
tt0109579;movie;Death and the Maiden;Death and the Maiden;1994;5;2;3;;['drama', 'mystery', 'thriller']
tt6704776;movie;The Photographer of Mauthausen;El fotógrafo de Mauthausen;2018;5;3;2;https://m.media-amazon.com/images/M/MV5BYzQzMGEzZGMtYzVjZi00OGYwLWJmYWMtNGE2OTUwNzc2MGEwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SX300.jpg;['biography', 'drama', 'history']
tt2334879;movie;White House Down;White House Down;2013;5;2;3;https://m.media-amazon.com/images/M/MV5BMTAyNzQyNTcwNjVeQTJeQWpwZ15BbWU3MDAwOTQ4Nzk@._V1_SX300.jpg;['action', 'drama', 'thriller']
tt0127536;movie;Elizabeth;Elizabeth;1998;5;3;2;https://m.media-amazon.com/images/M/MV5BNWM4NmYwNTYtZDJhNS00YTIwLWJhNjAtNzAxNTEzMzAxN2ZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt1020072;movie;Selma;Selma;2014;5;3;2;https://m.media-amazon.com/images/M/MV5BZGZkNzFkYTgtYTBkZC00M2MzLWJhNzUtMGE4YzRhYmU2Zjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0086312;movie;Silkwood;Silkwood;1983;5;3;2;;['biography', 'drama', 'history']
tt0107206;movie;In the Line of Fire;In the Line of Fire;1993;5;1;4;;['action', 'crime', 'drama']
tt0051036;movie;Sweet Smell of Success;Sweet Smell of Success;1957;5;1;4;;['drama', 'film-noir']
tt7074886;movie;The Front Runner;The Front Runner;2018;5;3;2;;['biography', 'drama', 'history']
tt0118607;movie;Amistad;Amistad;1997;5;3;2;;['biography', 'drama', 'history']
tt6394270;movie;Bombshell;Bombshell;2019;5;2;3;;['biography', 'drama']
tt0436971;movie;Why We Fight;Why We Fight;2005;5;2;3;;['documentary', 'history', 'war']
tt0078966;movie;The China Syndrome;The China Syndrome;1979;5;2;3;;['drama', 'thriller']
tt0864761;movie;The Duchess;The Duchess;2008;5;3;2;;['biography', 'drama', 'history']
tt0145503;movie;Sunshine;Sunshine;1999;5;2;3;;['drama', 'history', 'romance']
tt0037824;movie;Ivan the Terrible, Part I;Ivan Groznyy;1944;5;3;2;;['biography', 'drama', 'history']
